fold,seed,layer,acc,epoch
4,69,5,0.905,52
4,69,6,0.9125,53
4,69,7,0.915,53
4,69,8,0.915,53
4,69,9,0.9175,53
4,69,10,0.92,53
4,69,11,0.9225,31
4,70,0,0.4075,65
4,70,1,0.7075,53
4,70,2,0.8,74
4,70,3,0.8525,78
4,70,4,0.8975,88
4,70,5,0.9175,88
4,70,6,0.925,89
4,70,7,0.9325,88
4,70,8,0.93,92
4,70,9,0.93,68
4,70,10,0.935,77
4,70,11,0.935,82
4,71,0,0.41,82
4,71,1,0.705,74
4,71,2,0.815,53
4,71,3,0.8525,72
4,71,4,0.885,59
4,71,5,0.9075,63
4,71,6,0.915,69
4,71,7,0.915,63
4,71,8,0.9175,69
4,71,9,0.92,63
4,71,10,0.9225,63
4,71,11,0.9275,86
4,72,0,0.41,74
4,72,1,0.7375,72
4,72,2,0.8175,63
4,72,3,0.845,85
4,72,4,0.8875,73
4,72,5,0.9175,88
4,72,6,0.9175,51
4,72,7,0.9175,68
4,72,8,0.9125,68
4,72,9,0.9225,84
4,72,10,0.925,87
4,72,11,0.925,73
4,73,0,0.39,82
4,73,1,0.7175,53
4,73,2,0.82,91
4,73,3,0.8425,47
4,73,4,0.8875,68
4,73,5,0.915,90
4,73,6,0.935,93
4,73,7,0.935,91
4,73,8,0.935,70
4,73,9,0.935,70
4,73,10,0.9425,83
4,73,11,0.94,77
4,74,0,0.405,91
4,74,1,0.755,89
4,74,2,0.83,91
4,74,3,0.855,67
4,74,4,0.87,81
4,74,5,0.9075,79
4,74,6,0.91,79
4,74,7,0.9175,88
4,74,8,0.925,78
4,74,9,0.9225,78
4,74,10,0.93,78
4,74,11,0.9375,95
4,75,0,0.4025,67
4,75,1,0.73,47
4,75,2,0.81,51
4,75,3,0.8525,85
4,75,4,0.8775,47
4,75,5,0.9,47
4,75,6,0.905,94
4,75,7,0.905,90
4,75,8,0.9125,73
4,75,9,0.91,73
4,75,10,0.9125,77
4,75,11,0.9175,91
4,76,0,0.39,70
4,76,1,0.7575,86
4,76,2,0.85,82
4,76,3,0.865,60
4,76,4,0.89,55
4,76,5,0.9175,60
4,76,6,0.9275,60
4,76,7,0.93,62
4,76,8,0.9275,75
4,76,9,0.93,60
4,76,10,0.9275,58
4,76,11,0.9275,58
4,77,0,0.4275,81
4,77,1,0.715,64
4,77,2,0.8025,36
4,77,3,0.845,64
4,77,4,0.88,67
4,77,5,0.895,70
4,77,6,0.91,90
4,77,7,0.9125,72
4,77,8,0.9275,94
4,77,9,0.935,93
4,77,10,0.9275,87
4,77,11,0.9275,77
4,78,0,0.425,83
4,78,1,0.7175,80
4,78,2,0.815,87
4,78,3,0.845,54
4,78,4,0.88,87
4,78,5,0.9025,57
4,78,6,0.9125,83
4,78,7,0.915,81
4,78,8,0.9225,57
4,78,9,0.925,85
4,78,10,0.925,57
4,78,11,0.925,57
4,79,0,0.39,78
4,79,1,0.6875,61
4,79,2,0.8075,54
4,79,3,0.84,54
4,79,4,0.8775,54
4,79,5,0.9125,77
4,79,6,0.925,77
4,79,7,0.9325,70
4,79,8,0.9325,70
4,79,9,0.9325,70
4,79,10,0.9325,70
4,79,11,0.9325,70
4,80,0,0.395,80
4,80,1,0.71,61
4,80,2,0.81,75
4,80,3,0.8525,57
4,80,4,0.8725,57
4,80,5,0.8925,56
4,80,6,0.9075,87
4,80,7,0.9125,56
4,80,8,0.915,80
4,80,9,0.92,76
4,80,10,0.92,82
4,80,11,0.9275,77
4,81,0,0.395,81
4,81,1,0.72,63
4,81,2,0.8225,81
4,81,3,0.865,43
4,81,4,0.88,35
4,81,5,0.92,77
4,81,6,0.9325,81
4,81,7,0.93,64
4,81,8,0.93,64
4,81,9,0.93,64
4,81,10,0.93,64
4,81,11,0.9325,64
4,82,0,0.4025,73
4,82,1,0.7375,61
4,82,2,0.8175,44
4,82,3,0.845,44
4,82,4,0.885,48
4,82,5,0.9025,48
4,82,6,0.915,72
4,82,7,0.925,72
4,82,8,0.93,72
4,82,9,0.925,72
4,82,10,0.9325,72
4,82,11,0.935,72
4,83,0,0.4025,79
4,83,1,0.735,72
4,83,2,0.815,85
4,83,3,0.845,62
4,83,4,0.8875,66
4,83,5,0.9125,80
4,83,6,0.925,67
4,83,7,0.935,67
4,83,8,0.9375,79
4,83,9,0.9375,85
4,83,10,0.9325,67
4,83,11,0.935,67
4,84,0,0.4175,87
4,84,1,0.7075,86
4,84,2,0.8,45
4,84,3,0.83,48
4,84,4,0.8925,84
4,84,5,0.9125,89
4,84,6,0.92,80
4,84,7,0.9225,80
4,84,8,0.93,80
4,84,9,0.93,80
4,84,10,0.9325,80
4,84,11,0.93,85
4,85,0,0.4,100
4,85,1,0.7425,70
4,85,2,0.8025,58
4,85,3,0.845,52
4,85,4,0.885,70
4,85,5,0.9125,72
4,85,6,0.925,89
4,85,7,0.925,86
4,85,8,0.925,86
4,85,9,0.9225,52
4,85,10,0.9175,75
4,85,11,0.9275,52
4,86,0,0.4,76
4,86,1,0.715,68
4,86,2,0.8025,64
4,86,3,0.8525,44
4,86,4,0.88,68
4,86,5,0.915,73
4,86,6,0.92,38
4,86,7,0.9175,68
4,86,8,0.925,68
4,86,9,0.9325,73
4,86,10,0.93,73
4,86,11,0.93,74
4,87,0,0.4225,88
4,87,1,0.7325,66
4,87,2,0.82,71
4,87,3,0.8525,53
4,87,4,0.8675,29
4,87,5,0.905,78
4,87,6,0.9125,78
4,87,7,0.9225,78
4,87,8,0.9275,96
4,87,9,0.93,90
4,87,10,0.9275,80
4,87,11,0.925,79
4,88,0,0.3975,86
4,88,1,0.73,60
4,88,2,0.815,74
4,88,3,0.8525,56
4,88,4,0.8875,67
4,88,5,0.9125,74
4,88,6,0.93,79
4,88,7,0.925,79
4,88,8,0.925,80
4,88,9,0.9275,91
4,88,10,0.9275,79
4,88,11,0.9325,91
4,89,0,0.385,70
4,89,1,0.7325,52
4,89,2,0.81,80
4,89,3,0.8475,64
4,89,4,0.8825,71
4,89,5,0.91,81
4,89,6,0.92,65
4,89,7,0.9175,65
4,89,8,0.9175,65
4,89,9,0.9275,75
4,89,10,0.92,75
4,89,11,0.9275,77
4,90,0,0.42,77
4,90,1,0.715,54
4,90,2,0.8175,50
4,90,3,0.8375,68
4,90,4,0.8775,76
4,90,5,0.9,75
4,90,6,0.91,89
4,90,7,0.9175,89
4,90,8,0.9175,75
4,90,9,0.92,76
4,90,10,0.925,76
4,90,11,0.925,75
4,91,0,0.3875,69
4,91,1,0.7475,81
4,91,2,0.815,56
4,91,3,0.83,57
4,91,4,0.87,63
4,91,5,0.895,58
4,91,6,0.9075,76
4,91,7,0.9075,83
4,91,8,0.9075,66
4,91,9,0.91,56
4,91,10,0.91,66
4,91,11,0.9175,42
4,92,0,0.4,65
4,92,1,0.715,62
4,92,2,0.81,76
4,92,3,0.845,70
4,92,4,0.88,52
4,92,5,0.8975,52
4,92,6,0.9125,84
